Unnamed: 0,序号,作物编号,作物名称,地块类型,种植季次,亩产量/斤,种植成本/(元/亩),销售单价/(元/斤),确切销售单价/(元/斤),亩利润/(元/亩)
95,96,23,菠菜 ,智慧大棚,第二季,2832.1399505030677,3646.51875,5.80-8.00,8.386993125000004,17700.0
96,97,24,青椒,智慧大棚,第二季,2582.86190692993,2674.11375,5.80-7.80,8.2654425,16160.0
97,98,25,菜花,智慧大棚,第二季,3585.1530729684564,4011.170625,6.00-7.20,8.022341250000002,20460.0
98,99,26,包菜,智慧大棚,第二季,4000.372368784722,4679.6990625,6.60-9.00,9.48094875,28130.0
99,100,27,油麦菜,智慧大棚,第二季,4635.055719218613,2674.11375,4.80-7.20,7.293037500000002,24800.0
100,101,28,小青菜,智慧大棚,第二季,3685.9422863776117,2674.11375,6.00-7.80,8.386993125000004,22640.0
101,102,29,黄瓜,智慧大棚,第二季,13564.832589056132,4679.6990625,7.20-9.60,10.210252500000001,109550.0
102,103,30,生菜 ,智慧大棚,第二季,4822.606747277093,2674.11375,5.40-7.20,7.657689375000003,26150.000000000004
103,104,31,辣椒,智慧大棚,第二季,1606.649033988508,1580.158125,7.20-10.20,10.574904375000001,14359.999999999998
104,105,32,空心菜,智慧大棚,第二季,11170.889016808662,6685.284375,3.60-7.20,6.563733750000001,53900.00000000001
105,106,33,黄心菜,智慧大棚,第二季,5248.831981781031,3342.6421875,4.80-6.00,6.563733750000001,26410.000000000004
106,107,34,芹菜,智慧大棚,第二季,5965.82908992336,1458.6075,3.80-5.80,5.834430000000003,27600.0
107,65,17,豇豆,智慧大棚,第一季,4068.419809228848,2917.215,7.00-9.00,9.72405,26400.0
108,66,18,刀豆,智慧大棚,第一季,2415.5896454382696,1458.6075,5.50-8.00,8.2046671875,15000.0
109,67,19,芸豆,智慧大棚,第一季,3325.6095417524066,2917.215,5.00-8.00,7.9007906250000035,21000.0
110,68,20,土豆,智慧大棚,第一季,2256.5830558804873,2917.215,3.00-4.50,4.558148437500002,6600.0
111,69,21,西红柿,智慧大棚,第一季,2620.7620537491016,2917.215,5.00-7.50,7.596914062500001,16350.0
112,70,22,茄子,智慧大棚,第一季,7931.039778484009,2917.215,5.00-6.00,6.685284375000002,41600.0
113,71,23,菠菜 ,智慧大棚,第一季,3278.7041032632105,3281.866875,4.80-6.70,6.9891609374999994,16275.0
114,72,24,青椒,智慧大棚,第一季,2710.5173853106785,2431.0125000000003,4.00-6.50,6.381407812500002,13750.0
115,73,25,菜花,智慧大棚,第一季,3801.5184854028766,3646.51875,5.00-6.00,6.685284375000002,19000.0
116,74,26,包菜,智慧大棚,第一季,4405.333670438647,4254.271875,5.50-7.50,7.9007906250000035,25750.0
117,75,27,油麦菜,智慧大棚,第一季,5271.555958200713,2431.0125000000003,4.00-6.00,6.077531250000001,23000.0
118,76,28,小青菜,智慧大棚,第一季,3962.2469843656995,2431.0125000000003,5.00-6.50,6.9891609374999994,21000.0
119,77,29,黄瓜,智慧大棚,第一季,14983.873927030405,4254.271875,6.00-8.00,8.50854375,101500.0
120,78,30,生菜 ,智慧大棚,第一季,4991.2908610913,2431.0125000000003,4.50-6.00,6.381407812500002,24250.0
121,79,31,辣椒,智慧大棚,第一季,1973.9775610950492,1458.6075,6.00-8.50,8.812420312500002,13300.0
122,80,32,空心菜,智慧大棚,第一季,13623.081133622212,6077.53125,3.00-6.00,5.469778125000002,49000.0
123,81,33,黄心菜,智慧大棚,第一季,4918.419495354326,3038.765625,4.00-5.00,5.469778125000002,24500.0
124,82,34,芹菜,智慧大棚,第一季,6724.4892098438995,1337.056875,3.20-4.80,4.862025000000001,25300.0
