Unnamed: 0,序号,作物编号,作物名称,地块类型,种植季次,亩产量/斤,种植成本/(元/亩),销售单价/(元/斤),确切销售单价/(元/斤),亩利润/(元/亩)
64,65,17,豇豆,普通大棚 ,第一季,3578.9552575056414,2646.0,7.00-9.00,8.82,26400.0
65,66,18,刀豆,普通大棚 ,第一季,2335.467201244429,1323.0,5.50-8.00,7.4418750000000005,15000.0
66,67,19,芸豆,普通大棚 ,第一季,3876.6293959799236,2646.0,5.00-8.00,7.166250000000001,21000.0
67,68,20,土豆,普通大棚 ,第一季,2501.803390052472,2646.0,3.00-4.50,4.134375,6600.0
68,69,21,西红柿,普通大棚 ,第一季,2973.552802043912,2646.0,5.00-7.50,6.890625,16350.0
69,70,22,茄子,普通大棚 ,第一季,7293.591181436519,2646.0,5.00-6.00,6.063750000000001,41600.0
70,71,23,菠菜 ,普通大棚 ,第一季,3482.1926821447832,2976.75,4.80-6.70,6.339375,16275.0
71,72,24,青椒,普通大棚 ,第一季,2808.5237966474247,2205.0,4.00-6.50,5.788125000000001,13750.0
72,73,25,菜花,普通大棚 ,第一季,4040.566302708345,3307.5,5.00-6.00,6.063750000000001,19000.0
73,74,26,包菜,普通大棚 ,第一季,4396.2134441238395,3858.75,5.50-7.50,7.166250000000001,25750.0
74,75,27,油麦菜,普通大棚 ,第一季,4691.5467204147,2205.0,4.00-6.00,5.5125,23000.0
75,76,28,小青菜,普通大棚 ,第一季,3966.963297763346,2205.0,5.00-6.50,6.339375,21000.0
76,77,29,黄瓜,普通大棚 ,第一季,15294.921278847803,3858.75,6.00-8.00,7.7175,101500.0
77,78,30,生菜 ,普通大棚 ,第一季,5184.326664695728,2205.0,4.50-6.00,5.788125000000001,24250.0
78,79,31,辣椒,普通大棚 ,第一季,1984.3169345884535,1323.0,6.00-8.50,7.993125000000002,13300.0
79,80,32,空心菜,普通大棚 ,第一季,11904.76240974956,5512.5,3.00-6.00,4.961250000000001,49000.0
80,81,33,黄心菜,普通大棚 ,第一季,5574.520560702983,2756.25,4.00-5.00,4.961250000000001,24500.0
81,82,34,芹菜,普通大棚 ,第一季,6253.127442627052,1212.75,3.20-4.80,4.41,25300.0
82,83,35,大白菜,水浇地,第二季,5409.986518253998,2205.0,2.00-3.00,2.75625,10500.0
83,84,36,白萝卜,水浇地,第二季,4418.391281452584,551.25,2.00-3.00,2.75625,9500.0
84,85,37,红萝卜,水浇地,第二季,3191.2603351383555,551.25,2.50-4.00,3.5831250000000003,9250.0
85,86,38,榆黄菇,普通大棚 ,第二季,4943.895099238081,3307.5,50.00-65.00,54.10225940645802,284500.0
86,87,39,香菇,普通大棚 ,第二季,3829.225862642109,2205.0,18.00-20.00,17.8895488839764,74000.0
87,88,40,白灵菇,普通大棚 ,第二季,9781.784956667634,11025.0,14.00-18.00,15.202915715416314,150000.0
88,89,41,羊肚菌,普通大棚 ,第二季,998.7626897264514,11025.0,80.00-120.00,90.25,90000.0
89,90,17,豇豆,智慧大棚,第二季,3013.139999512168,2910.6,8.40-10.80,10.584000000000001,28080.000000000004
90,91,18,刀豆,智慧大棚,第二季,2377.908074539272,1455.3,6.60-9.60,8.930250000000001,16500.0
91,92,19,芸豆,智慧大棚,第二季,3302.3198925497027,2910.6,6.00-9.60,8.599499999999999,22320.0
92,93,20,土豆,智慧大棚,第二季,2062.697196598682,2910.6,3.60-5.40,4.961250000000001,7260.0
93,94,21,西红柿,智慧大棚,第二季,2826.841901586049,2910.6,6.00-9.00,8.26875,17610.0
94,95,22,茄子,智慧大棚,第二季,7189.06762915244,2910.6,6.00-7.20,7.2765,44880.0
95,96,23,菠菜 ,智慧大棚,第二季,2944.6268590726695,3307.5,5.80-8.00,7.607250000000001,17700.0
96,97,24,青椒,智慧大棚,第二季,2578.8361782574807,2425.5,5.80-7.80,7.497,16160.0
97,98,25,菜花,智慧大棚,第二季,3689.1768221331677,3638.25,6.00-7.20,7.2765,20460.0
98,99,26,包菜,智慧大棚,第二季,3884.5752682847296,4244.625,6.60-9.00,8.599499999999999,28130.0
99,100,27,油麦菜,智慧大棚,第二季,4628.508367943445,2425.5,4.80-7.20,6.615000000000002,24800.0
100,101,28,小青菜,智慧大棚,第二季,3588.5735622139337,2425.5,6.00-7.80,7.607250000000001,22640.0
101,102,29,黄瓜,智慧大棚,第二季,12717.143346208486,4244.625,7.20-9.60,9.261000000000001,109550.0
102,103,30,生菜 ,智慧大棚,第二季,4541.736852941981,2425.5,5.40-7.20,6.945750000000002,26150.000000000004
103,104,31,辣椒,智慧大棚,第二季,1689.976974141544,1433.25,7.20-10.20,9.59175,14359.999999999998
104,105,32,空心菜,智慧大棚,第二季,11375.377611463635,6063.75,3.60-7.20,5.953500000000001,53900.00000000001
105,106,33,黄心菜,智慧大棚,第二季,5106.599442609079,3031.875,4.80-6.00,5.953500000000001,26410.000000000004
106,107,34,芹菜,智慧大棚,第二季,6149.1247020414885,1323.0,3.80-5.80,5.292000000000001,27600.0
107,65,17,豇豆,智慧大棚,第一季,3879.02686961975,2646.0,7.00-9.00,8.82,26400.0
108,66,18,刀豆,智慧大棚,第一季,2277.4442618500707,1323.0,5.50-8.00,7.4418750000000005,15000.0
109,67,19,芸豆,智慧大棚,第一季,3374.148822198704,2646.0,5.00-8.00,7.166250000000001,21000.0
110,68,20,土豆,智慧大棚,第一季,2400.962752675809,2646.0,3.00-4.50,4.134375,6600.0
111,69,21,西红柿,智慧大棚,第一季,2809.385481481545,2646.0,5.00-7.50,6.890625,16350.0
112,70,22,茄子,智慧大棚,第一季,8014.950632356201,2646.0,5.00-6.00,6.063750000000001,41600.0
113,71,23,菠菜 ,智慧大棚,第一季,3219.4484681042964,2976.75,4.80-6.70,6.339375,16275.0
114,72,24,青椒,智慧大棚,第一季,2700.9664371067183,2205.0,4.00-6.50,5.788125000000001,13750.0
115,73,25,菜花,智慧大棚,第一季,3776.6895011386705,3307.5,5.00-6.00,6.063750000000001,19000.0
116,74,26,包菜,智慧大棚,第一季,4399.837841692234,3858.75,5.50-7.50,7.166250000000001,25750.0
117,75,27,油麦菜,智慧大棚,第一季,5118.620323955286,2205.0,4.00-6.00,5.5125,23000.0
118,76,28,小青菜,智慧大棚,第一季,4024.4189041797827,2205.0,5.00-6.50,6.339375,21000.0
119,77,29,黄瓜,智慧大棚,第一季,15191.602938674067,3858.75,6.00-8.00,7.7175,101500.0
120,78,30,生菜 ,智慧大棚,第一季,5093.75053902698,2205.0,4.50-6.00,5.788125000000001,24250.0
121,79,31,辣椒,智慧大棚,第一季,2011.0226320015636,1323.0,6.00-8.50,7.993125000000002,13300.0
122,80,32,空心菜,智慧大棚,第一季,13091.530787327285,5512.5,3.00-6.00,4.961250000000001,49000.0
123,81,33,黄心菜,智慧大棚,第一季,5545.988468074305,2756.25,4.00-5.00,4.961250000000001,24500.0
124,82,34,芹菜,智慧大棚,第一季,6670.67009851748,1212.75,3.20-4.80,4.41,25300.0
