序号,作物编号,作物名称,地块类型,种植季次,亩产量/斤,种植成本/(元/亩),销售单价/(元/斤),确切销售单价/(元/斤),亩利润/(元/亩)
32,2,黑豆,山坡地,单季,450.0,400.0,6.50-8.50,7.5,2975.0
33,3,红豆,山坡地,单季,360.0,350.0,7.50-9.00,8.25,2620.0
34,4,绿豆,山坡地,单季,315.0,350.0,6.00-8.00,7.0,1855.0
35,5,爬豆,山坡地,单季,375.0,350.0,6.00-7.50,6.75,2181.25
36,6,小麦,山坡地,单季,720.0,450.0,3.00-4.00,3.5,2070.0
37,7,玉米,山坡地,单季,900.0,500.0,2.50-3.50,3.0,2200.0
38,8,谷子,山坡地,单季,360.0,360.0,6.00-7.50,6.75,2070.0
39,9,高粱,山坡地,单季,570.0,400.0,5.50-6.50,6.0,3020.0
40,10,黍子,山坡地,单季,475.0,360.0,6.50-8.50,7.5,3202.5
41,11,荞麦,山坡地,单季,100.0,350.0,30.00-50.00,40.0,3650.0
42,12,南瓜,山坡地,单季,2700.0,1000.0,1.00-2.00,1.5,3050.0
43,13,红薯,山坡地,单季,2000.0,2000.0,2.50-4.00,3.25,4500.0
44,14,莜麦,山坡地,单季,380.0,400.0,5.00-6.00,5.5,1690.0
45,15,大麦,山坡地,单季,475.0,350.0,3.00-4.00,3.5,1312.5
46,16,水稻,水浇地,单季,500.0,680.0,6.00-8.00,7.0,2820.0
47,17,豇豆,水浇地,第一季,3000.0,2000.0,7.00-9.00,8.0,22000.0
48,18,刀豆,水浇地,第一季,2000.0,1000.0,5.50-8.00,6.75,12500.0
49,19,芸豆,水浇地,第一季,3000.0,2000.0,5.00-8.00,6.5,17500.0
50,20,土豆,水浇地,第一季,2000.0,2000.0,3.00-4.50,3.75,5500.0
51,21,西红柿,水浇地,第一季,2400.0,2000.0,5.00-7.50,6.25,13000.0
52,22,茄子,水浇地,第一季,6400.0,2000.0,5.00-6.00,5.5,33200.0
53,23,菠菜 ,水浇地,第一季,2700.0,2300.0,4.80-6.70,5.75,13225.0
54,24,青椒,水浇地,第一季,2400.0,1600.0,4.00-6.50,5.25,11000.0
55,25,菜花,水浇地,第一季,3300.0,2400.0,5.00-6.00,5.5,15750.0
56,26,包菜,水浇地,第一季,3700.0,2900.0,5.50-7.50,6.5,21150.0
57,27,油麦菜,水浇地,第一季,4100.0,1600.0,4.00-6.00,5.0,18900.0
58,28,小青菜,水浇地,第一季,3200.0,1600.0,5.00-6.50,5.75,16800.0
59,29,黄瓜,水浇地,第一季,12000.0,2900.0,6.00-8.00,7.0,81100.0
60,30,生菜 ,水浇地,第一季,4100.0,1600.0,4.50-6.00,5.25,19925.0
61,31,辣椒,水浇地,第一季,1600.0,1000.0,6.00-8.50,7.25,10600.0
62,32,空心菜,水浇地,第一季,10000.0,4100.0,3.00-6.00,4.5,40900.0
63,33,黄心菜,水浇地,第一季,5000.0,2000.0,4.00-5.00,4.5,20500.0
64,34,芹菜,水浇地,第一季,5500.0,900.0,3.20-4.80,4.0,21100.0
65,17,豇豆,普通大棚 ,第一季,3600.0,2400.0,7.00-9.00,8.0,26400.0
66,18,刀豆,普通大棚 ,第一季,2400.0,1200.0,5.50-8.00,6.75,15000.0
67,19,芸豆,普通大棚 ,第一季,3600.0,2400.0,5.00-8.00,6.5,21000.0
68,20,土豆,普通大棚 ,第一季,2400.0,2400.0,3.00-4.50,3.75,6600.0
69,21,西红柿,普通大棚 ,第一季,3000.0,2400.0,5.00-7.50,6.25,16350.0
70,22,茄子,普通大棚 ,第一季,8000.0,2400.0,5.00-6.00,5.5,41600.0
71,23,菠菜 ,普通大棚 ,第一季,3300.0,2700.0,4.80-6.70,5.75,16275.0
72,24,青椒,普通大棚 ,第一季,3000.0,2000.0,4.00-6.50,5.25,13750.0
73,25,菜花,普通大棚 ,第一季,4000.0,3000.0,5.00-6.00,5.5,19000.0
74,26,包菜,普通大棚 ,第一季,4500.0,3500.0,5.50-7.50,6.5,25750.0
75,27,油麦菜,普通大棚 ,第一季,5000.0,2000.0,4.00-6.00,5.0,23000.0
76,28,小青菜,普通大棚 ,第一季,4000.0,2000.0,5.00-6.50,5.75,21000.0
77,29,黄瓜,普通大棚 ,第一季,15000.0,3500.0,6.00-8.00,7.0,101500.0
78,30,生菜 ,普通大棚 ,第一季,5000.0,2000.0,4.50-6.00,5.25,24250.0
79,31,辣椒,普通大棚 ,第一季,2000.0,1200.0,6.00-8.50,7.25,13300.0
80,32,空心菜,普通大棚 ,第一季,12000.0,5000.0,3.00-6.00,4.5,49000.0
81,33,黄心菜,普通大棚 ,第一季,6000.0,2500.0,4.00-5.00,4.5,24500.0
82,34,芹菜,普通大棚 ,第一季,6600.0,1100.0,3.20-4.80,4.0,25300.0
83,35,大白菜,水浇地,第二季,5000.0,2000.0,2.00-3.00,2.5,10500.0
84,36,白萝卜,水浇地,第二季,4000.0,500.0,2.00-3.00,2.5,9500.0
85,37,红萝卜,水浇地,第二季,3000.0,500.0,2.50-4.00,3.25,9250.0
86,38,榆黄菇,普通大棚 ,第二季,5000.0,3000.0,50.00-65.00,57.5,284500.0
87,39,香菇,普通大棚 ,第二季,4000.0,2000.0,18.00-20.00,19.0,74000.0
88,40,白灵菇,普通大棚 ,第二季,10000.0,10000.0,14.00-18.00,16.0,150000.0
89,41,羊肚菌,普通大棚 ,第二季,1000.0,10000.0,80.00-120.00,100.0,90000.0
90,17,豇豆,智慧大棚,第二季,3200.0,2640.0,8.40-10.80,9.600000000000001,28080.000000000004
91,18,刀豆,智慧大棚,第二季,2200.0,1320.0,6.60-9.60,8.1,16500.0
92,19,芸豆,智慧大棚,第二季,3200.0,2640.0,6.00-9.60,7.8,22320.0
93,20,土豆,智慧大棚,第二季,2200.0,2640.0,3.60-5.40,4.5,7260.0
94,21,西红柿,智慧大棚,第二季,2700.0,2640.0,6.00-9.00,7.5,17610.0
95,22,茄子,智慧大棚,第二季,7200.0,2640.0,6.00-7.20,6.6,44880.0
96,23,菠菜 ,智慧大棚,第二季,3000.0,3000.0,5.80-8.00,6.9,17700.0
97,24,青椒,智慧大棚,第二季,2700.0,2200.0,5.80-7.80,6.8,16160.0
98,25,菜花,智慧大棚,第二季,3600.0,3300.0,6.00-7.20,6.6,20460.0
99,26,包菜,智慧大棚,第二季,4100.0,3850.0,6.60-9.00,7.8,28130.0
100,27,油麦菜,智慧大棚,第二季,4500.0,2200.0,4.80-7.20,6.0,24800.0
101,28,小青菜,智慧大棚,第二季,3600.0,2200.0,6.00-7.80,6.9,22640.0
102,29,黄瓜,智慧大棚,第二季,13500.0,3850.0,7.20-9.60,8.4,109550.0
103,30,生菜 ,智慧大棚,第二季,4500.0,2200.0,5.40-7.20,6.300000000000001,26150.000000000004
104,31,辣椒,智慧大棚,第二季,1800.0,1300.0,7.20-10.20,8.7,14359.999999999998
105,32,空心菜,智慧大棚,第二季,11000.0,5500.0,3.60-7.20,5.4,53900.00000000001
106,33,黄心菜,智慧大棚,第二季,5400.0,2750.0,4.80-6.00,5.4,26410.000000000004
107,34,芹菜,智慧大棚,第二季,6000.0,1200.0,3.80-5.80,4.8,27600.0
65,17,豇豆,智慧大棚,第一季,3600.0,2400.0,7.00-9.00,8.0,26400.0
66,18,刀豆,智慧大棚,第一季,2400.0,1200.0,5.50-8.00,6.75,15000.0
67,19,芸豆,智慧大棚,第一季,3600.0,2400.0,5.00-8.00,6.5,21000.0
68,20,土豆,智慧大棚,第一季,2400.0,2400.0,3.00-4.50,3.75,6600.0
69,21,西红柿,智慧大棚,第一季,3000.0,2400.0,5.00-7.50,6.25,16350.0
70,22,茄子,智慧大棚,第一季,8000.0,2400.0,5.00-6.00,5.5,41600.0
71,23,菠菜 ,智慧大棚,第一季,3300.0,2700.0,4.80-6.70,5.75,16275.0
72,24,青椒,智慧大棚,第一季,3000.0,2000.0,4.00-6.50,5.25,13750.0
73,25,菜花,智慧大棚,第一季,4000.0,3000.0,5.00-6.00,5.5,19000.0
74,26,包菜,智慧大棚,第一季,4500.0,3500.0,5.50-7.50,6.5,25750.0
75,27,油麦菜,智慧大棚,第一季,5000.0,2000.0,4.00-6.00,5.0,23000.0
76,28,小青菜,智慧大棚,第一季,4000.0,2000.0,5.00-6.50,5.75,21000.0
77,29,黄瓜,智慧大棚,第一季,15000.0,3500.0,6.00-8.00,7.0,101500.0
78,30,生菜 ,智慧大棚,第一季,5000.0,2000.0,4.50-6.00,5.25,24250.0
79,31,辣椒,智慧大棚,第一季,2000.0,1200.0,6.00-8.50,7.25,13300.0
80,32,空心菜,智慧大棚,第一季,12000.0,5000.0,3.00-6.00,4.5,49000.0
81,33,黄心菜,智慧大棚,第一季,6000.0,2500.0,4.00-5.00,4.5,24500.0
82,34,芹菜,智慧大棚,第一季,6600.0,1100.0,3.20-4.80,4.0,25300.0
