Unnamed: 0,序号,作物编号,作物名称,地块类型,种植季次,亩产量/斤,种植成本/(元/亩),销售单价/(元/斤),确切销售单价/(元/斤),亩利润/(元/亩)
33,34,4,绿豆,山坡地,单季,314.17117910471904,367.5,6.00-8.00,7.0,1855.0
34,35,5,爬豆,山坡地,单季,362.43177867644965,367.5,6.00-7.50,6.75,2181.25
35,36,6,小麦,山坡地,单季,738.5637871071567,472.5,3.00-4.00,3.5,2070.0
36,37,7,玉米,山坡地,单季,916.3641336243325,525.0,2.50-3.50,3.0,2200.0
37,38,8,谷子,山坡地,单季,384.34815525755005,378.0,6.00-7.50,6.75,2070.0
38,39,9,高粱,山坡地,单季,549.177761143405,420.0,5.50-6.50,6.0,3020.0
39,40,10,黍子,山坡地,单季,479.3482141733865,378.0,6.50-8.50,7.5,3202.5
40,41,11,荞麦,山坡地,单季,99.7764282925317,367.5,30.00-50.00,40.0,3650.0
41,42,12,南瓜,山坡地,单季,2701.911064731134,1050.0,1.00-2.00,1.5,3050.0
42,43,13,红薯,山坡地,单季,1962.8224601201346,2100.0,2.50-4.00,3.25,4500.0
43,44,14,莜麦,山坡地,单季,364.3625768035674,420.0,5.00-6.00,5.5,1690.0
44,45,15,大麦,山坡地,单季,471.55194343826594,367.5,3.00-4.00,3.5,1312.5
45,46,16,水稻,水浇地,单季,504.1029509989256,714.0,6.00-8.00,7.0,2820.0
46,47,17,豇豆,水浇地,第一季,3109.3454237300252,2100.0,7.00-9.00,8.4,22000.0
47,48,18,刀豆,水浇地,第一季,1944.9253804523405,1050.0,5.50-8.00,7.0875,12500.0
48,49,19,芸豆,水浇地,第一季,2992.5431266028636,2100.0,5.00-8.00,6.825,17500.0
49,50,20,土豆,水浇地,第一季,2119.0050939960392,2100.0,3.00-4.50,3.9375,5500.0
50,51,21,西红柿,水浇地,第一季,2357.749531205105,2100.0,5.00-7.50,6.5625,13000.0
51,52,22,茄子,水浇地,第一季,6454.262157104698,2100.0,5.00-6.00,5.775,33200.0
52,53,23,菠菜 ,水浇地,第一季,2721.236601243583,2415.0,4.80-6.70,6.0375000000000005,13225.0
53,54,24,青椒,水浇地,第一季,2335.090849553445,1680.0,4.00-6.50,5.5125,11000.0
54,55,25,菜花,水浇地,第一季,3247.1695010401672,2520.0,5.00-6.00,5.775,15750.0
55,56,26,包菜,水浇地,第一季,3619.1522452123327,3045.0,5.50-7.50,6.825,21150.0
56,57,27,油麦菜,水浇地,第一季,4126.424766548644,1680.0,4.00-6.00,5.25,18900.0
57,58,28,小青菜,水浇地,第一季,3284.099678696485,1680.0,5.00-6.50,6.0375000000000005,16800.0
58,59,29,黄瓜,水浇地,第一季,11810.848674186416,3045.0,6.00-8.00,7.35,81100.0
59,60,30,生菜 ,水浇地,第一季,4063.872916026949,1680.0,4.50-6.00,5.5125,19925.0
60,61,31,辣椒,水浇地,第一季,1588.1194585567748,1050.0,6.00-8.50,7.612500000000002,10600.0
61,62,32,空心菜,水浇地,第一季,9642.476303092879,4305.0,3.00-6.00,4.7250000000000005,40900.0
62,63,33,黄心菜,水浇地,第一季,5106.607918238187,2100.0,4.00-5.00,4.7250000000000005,20500.0
63,64,34,芹菜,水浇地,第一季,5385.517001032913,945.0,3.20-4.80,4.2,21100.0
64,65,17,豇豆,普通大棚 ,第一季,3672.447501246817,2520.0,7.00-9.00,8.4,26400.0
65,66,18,刀豆,普通大棚 ,第一季,2316.617971382048,1260.0,5.50-8.00,7.0875,15000.0
66,67,19,芸豆,普通大棚 ,第一季,3778.187736295712,2520.0,5.00-8.00,6.825,21000.0
67,68,20,土豆,普通大棚 ,第一季,2512.0928951655915,2520.0,3.00-4.50,3.9375,6600.0
68,69,21,西红柿,普通大棚 ,第一季,3026.690989456153,2520.0,5.00-7.50,6.5625,16350.0
69,70,22,茄子,普通大棚 ,第一季,7509.485299071835,2520.0,5.00-6.00,5.775,41600.0
70,71,23,菠菜 ,普通大棚 ,第一季,3394.0375311072603,2835.0,4.80-6.70,6.0375000000000005,16275.0
71,72,24,青椒,普通大棚 ,第一季,2772.643436037321,2100.0,4.00-6.50,5.5125,13750.0
72,73,25,菜花,普通大棚 ,第一季,4181.722169716159,3150.0,5.00-6.00,5.775,19000.0
73,74,26,包菜,普通大棚 ,第一季,4453.378453424672,3675.0,5.50-7.50,6.825,25750.0
74,75,27,油麦菜,普通大棚 ,第一季,4680.939101466734,2100.0,4.00-6.00,5.25,23000.0
75,76,28,小青菜,普通大棚 ,第一季,3978.5198535431023,2100.0,5.00-6.50,6.0375000000000005,21000.0
76,77,29,黄瓜,普通大棚 ,第一季,15062.257822860462,3675.0,6.00-8.00,7.35,101500.0
77,78,30,生菜 ,普通大棚 ,第一季,5111.371947518262,2100.0,4.50-6.00,5.5125,24250.0
78,79,31,辣椒,普通大棚 ,第一季,2002.5679362865185,1260.0,6.00-8.50,7.612500000000002,13300.0
79,80,32,空心菜,普通大棚 ,第一季,12469.261439794913,5250.0,3.00-6.00,4.7250000000000005,49000.0
80,81,33,黄心菜,普通大棚 ,第一季,5852.495850030509,2625.0,4.00-5.00,4.7250000000000005,24500.0
81,82,34,芹菜,普通大棚 ,第一季,6471.474437710941,1155.0,3.20-4.80,4.2,25300.0
82,83,35,大白菜,水浇地,第二季,5239.5926556269405,2100.0,2.00-3.00,2.625,10500.0
83,84,36,白萝卜,水浇地,第二季,4180.468773873869,525.0,2.00-3.00,2.625,9500.0
84,85,37,红萝卜,水浇地,第二季,3097.8298498422737,525.0,2.50-4.00,3.4125,9250.0
85,86,38,榆黄菇,普通大棚 ,第二季,5051.073785402808,3150.0,50.00-65.00,55.94407916010175,284500.0
86,87,39,香菇,普通大棚 ,第二季,3907.5103418509416,2100.0,18.00-20.00,18.41036843191485,74000.0
87,88,40,白灵菇,普通大棚 ,第二季,9548.166667368669,10500.0,14.00-18.00,15.672699047954788,150000.0
88,89,41,羊肚菌,普通大棚 ,第二季,1005.4751481191072,10500.0,80.00-120.00,95.0,90000.0
89,90,17,豇豆,智慧大棚,第二季,3036.215191528686,2772.0,8.40-10.80,10.08,28080.000000000004
90,91,18,刀豆,智慧大棚,第二季,2321.553111379197,1386.0,6.60-9.60,8.505,16500.0
91,92,19,芸豆,智慧大棚,第二季,3225.1987130478246,2772.0,6.00-9.60,8.19,22320.0
92,93,20,土豆,智慧大棚,第二季,2136.9832753763026,2772.0,3.60-5.40,4.7250000000000005,7260.0
93,94,21,西红柿,智慧大棚,第二季,2751.152239210867,2772.0,6.00-9.00,7.875,17610.0
94,95,22,茄子,智慧大棚,第二季,7202.011990126125,2772.0,6.00-7.20,6.93,44880.0
95,96,23,菠菜 ,智慧大棚,第二季,2975.9546106000416,3150.0,5.80-8.00,7.245000000000001,17700.0
96,97,24,青椒,智慧大棚,第二季,2744.537052277304,2310.0,5.80-7.80,7.14,16160.0
97,98,25,菜花,智慧大棚,第二季,3640.7154384029054,3465.0,6.00-7.20,6.93,20460.0
98,99,26,包菜,智慧大棚,第二季,4082.849186879362,4042.5,6.60-9.00,8.19,28130.0
99,100,27,油麦菜,智慧大棚,第二季,4553.460704682848,2310.0,4.80-7.20,6.300000000000002,24800.0
100,101,28,小青菜,智慧大棚,第二季,3423.3450275970836,2310.0,6.00-7.80,7.245000000000001,22640.0
101,102,29,黄瓜,智慧大棚,第二季,13047.167540450171,4042.5,7.20-9.60,8.82,109550.0
102,103,30,生菜 ,智慧大棚,第二季,4415.958013049748,2310.0,5.40-7.20,6.615000000000002,26150.000000000004
103,104,31,辣椒,智慧大棚,第二季,1730.3057713491685,1365.0,7.20-10.20,9.135,14359.999999999998
104,105,32,空心菜,智慧大棚,第二季,11180.050595426228,5775.0,3.60-7.20,5.670000000000001,53900.00000000001
105,106,33,黄心菜,智慧大棚,第二季,5032.883358919742,2887.5,4.80-6.00,5.670000000000001,26410.000000000004
106,107,34,芹菜,智慧大棚,第二季,6189.94866957076,1260.0,3.80-5.80,5.04,27600.0
107,65,17,豇豆,智慧大棚,第一季,3708.3640400484096,2520.0,7.00-9.00,8.4,26400.0
108,66,18,刀豆,智慧大棚,第一季,2363.206038063805,1260.0,5.50-8.00,7.0875,15000.0
109,67,19,芸豆,智慧大棚,第一季,3399.9068494144512,2520.0,5.00-8.00,6.825,21000.0
110,68,20,土豆,智慧大棚,第一季,2412.268047171428,2520.0,3.00-4.50,3.9375,6600.0
111,69,21,西红柿,智慧大棚,第一季,2977.59579403876,2520.0,5.00-7.50,6.5625,16350.0
112,70,22,茄子,智慧大棚,第一季,7989.362106606321,2520.0,5.00-6.00,5.775,41600.0
113,71,23,菠菜 ,智慧大棚,第一季,3357.9835727329805,2835.0,4.80-6.70,6.0375000000000005,16275.0
114,72,24,青椒,智慧大棚,第一季,2923.491025596373,2100.0,4.00-6.50,5.5125,13750.0
115,73,25,菜花,智慧大棚,第一季,3857.6032677494295,3150.0,5.00-6.00,5.775,19000.0
116,74,26,包菜,智慧大棚,第一季,4506.751296791952,3675.0,5.50-7.50,6.825,25750.0
117,75,27,油麦菜,智慧大棚,第一季,4991.730324051422,2100.0,4.00-6.00,5.25,23000.0
118,76,28,小青菜,智慧大棚,第一季,4023.3526071262413,2100.0,5.00-6.50,6.0375000000000005,21000.0
119,77,29,黄瓜,智慧大棚,第一季,14674.153103853112,3675.0,6.00-8.00,7.35,101500.0
120,78,30,生菜 ,智慧大棚,第一季,5035.028896250748,2100.0,4.50-6.00,5.5125,24250.0
121,79,31,辣椒,智慧大棚,第一季,2001.7200510179487,1260.0,6.00-8.50,7.612500000000002,13300.0
122,80,32,空心菜,智慧大棚,第一季,12304.115157106702,5250.0,3.00-6.00,4.7250000000000005,49000.0
123,81,33,黄心菜,智慧大棚,第一季,5900.84936826822,2625.0,4.00-5.00,4.7250000000000005,24500.0
124,82,34,芹菜,智慧大棚,第一季,6536.781153576986,1155.0,3.20-4.80,4.2,25300.0
