Unnamed: 0,序号,作物编号,作物名称,地块类型,种植季次,亩产量/斤,种植成本/(元/亩),销售单价/(元/斤),确切销售单价/(元/斤),亩利润/(元/亩)
40,41,11,荞麦,山坡地,单季,106.16943370026226,469.0334742187502,30.00-50.00,40.0,3650.0
41,42,12,南瓜,山坡地,单季,2660.6723225418805,1340.0956406250002,1.00-2.00,1.5,3050.0
42,43,13,红薯,山坡地,单季,1973.2401332263746,2680.1912812500013,2.50-4.00,3.25,4500.0
43,44,14,莜麦,山坡地,单季,352.68847683984615,536.03825625,5.00-6.00,5.5,1690.0
44,45,15,大麦,山坡地,单季,453.9194901583464,469.0334742187502,3.00-4.00,3.5,1312.5
45,46,16,水稻,水浇地,单季,495.5954803422262,911.2650356250005,6.00-8.00,7.0,2820.0
46,47,17,豇豆,水浇地,第一季,2786.7217993509557,2680.1912812500013,7.00-9.00,10.720765125,22000.0
47,48,18,刀豆,水浇地,第一季,2075.472101946078,1340.0956406250002,5.50-8.00,9.045645574218751,12500.0
48,49,19,芸豆,水浇地,第一季,3032.9510560858253,2680.1912812500013,5.00-8.00,8.710621664062504,17500.0
49,50,20,土豆,水浇地,第一季,1964.31960750289,2680.1912812500013,3.00-4.50,5.025358652343752,5500.0
50,51,21,西红柿,水浇地,第一季,2443.8913324812247,2680.1912812500013,5.00-7.50,8.375597753906252,13000.0
51,52,22,茄子,水浇地,第一季,6708.829066014292,2680.1912812500013,5.00-6.00,7.3705260234375025,33200.0
52,53,23,菠菜 ,水浇地,第一季,2677.696451594745,3082.2199734375004,4.80-6.70,7.70554993359375,13225.0
53,54,24,青椒,水浇地,第一季,2422.9893246679935,2144.153025,4.00-6.50,7.035502113281253,11000.0
54,55,25,菜花,水浇地,第一季,3374.3749778835527,3216.229537500001,5.00-6.00,7.3705260234375025,15750.0
55,56,26,包菜,水浇地,第一季,3527.7241948380615,3886.277357812501,5.50-7.50,8.710621664062504,21150.0
56,57,27,油麦菜,水浇地,第一季,3914.226290477129,2144.153025,4.00-6.00,6.700478203125003,18900.0
57,58,28,小青菜,水浇地,第一季,3427.790603312488,2144.153025,5.00-6.50,7.70554993359375,16800.0
58,59,29,黄瓜,水浇地,第一季,11941.50153621005,3886.277357812501,6.00-8.00,9.380669484375,81100.0
59,60,30,生菜 ,水浇地,第一季,4005.3125279413025,2144.153025,4.50-6.00,7.035502113281253,19925.0
60,61,31,辣椒,水浇地,第一季,1568.0008556708617,1340.0956406250002,6.00-8.50,9.715693394531252,10600.0
61,62,32,空心菜,水浇地,第一季,9547.404752733695,5494.392126562501,3.00-6.00,6.0304303828125025,40900.0
62,63,33,黄心菜,水浇地,第一季,5634.09991139541,2680.1912812500013,4.00-5.00,6.0304303828125025,20500.0
63,64,34,芹菜,水浇地,第一季,5242.356521210634,1206.0860765625002,3.20-4.80,5.360382562500002,21100.0
64,65,17,豇豆,普通大棚 ,第一季,3030.175293012687,3216.229537500001,7.00-9.00,10.720765125,26400.0
65,66,18,刀豆,普通大棚 ,第一季,2140.3781562760123,1608.1147687500004,5.50-8.00,9.045645574218751,15000.0
66,67,19,芸豆,普通大棚 ,第一季,3886.9200221533265,3216.229537500001,5.00-8.00,8.710621664062504,21000.0
67,68,20,土豆,普通大棚 ,第一季,2438.989455363891,3216.229537500001,3.00-4.50,5.025358652343752,6600.0
68,69,21,西红柿,普通大棚 ,第一季,3506.5610491742464,3216.229537500001,5.00-7.50,8.375597753906252,16350.0
69,70,22,茄子,普通大棚 ,第一季,6759.989151582567,3216.229537500001,5.00-6.00,7.3705260234375025,41600.0
70,71,23,菠菜 ,普通大棚 ,第一季,3521.5836070866294,3618.2582296875007,4.80-6.70,7.70554993359375,16275.0
71,72,24,青椒,普通大棚 ,第一季,2505.5341131285427,2680.1912812500013,4.00-6.50,7.035502113281253,13750.0
72,73,25,菜花,普通大棚 ,第一季,4382.339885396746,4020.286921875,5.00-6.00,7.3705260234375025,19000.0
73,74,26,包菜,普通大棚 ,第一季,4299.243143917778,4690.334742187501,5.50-7.50,8.710621664062504,25750.0
74,75,27,油麦菜,普通大棚 ,第一季,4876.800159432197,2680.1912812500013,4.00-6.00,6.700478203125003,23000.0
75,76,28,小青菜,普通大棚 ,第一季,3990.429947621318,2680.1912812500013,5.00-6.50,7.70554993359375,21000.0
76,77,29,黄瓜,普通大棚 ,第一季,16423.42493312185,4690.334742187501,6.00-8.00,9.380669484375,101500.0
77,78,30,生菜 ,普通大棚 ,第一季,5297.135923556351,2680.1912812500013,4.50-6.00,7.035502113281253,24250.0
78,79,31,辣椒,普通大棚 ,第一季,1637.9460595583005,1608.1147687500004,6.00-8.50,9.715693394531252,13300.0
79,80,32,空心菜,普通大棚 ,第一季,12406.01422642066,6700.4782031250015,3.00-6.00,6.0304303828125025,49000.0
80,81,33,黄心菜,普通大棚 ,第一季,6178.417119090673,3350.2391015625008,4.00-5.00,6.0304303828125025,24500.0
81,82,34,芹菜,普通大棚 ,第一季,6041.771660015123,1474.1052046875,3.20-4.80,5.360382562500002,25300.0
82,83,35,大白菜,水浇地,第二季,5510.517020878413,2680.1912812500013,2.00-3.00,3.350239101562501,10500.0
83,84,36,白萝卜,水浇地,第二季,4458.158884826296,670.0478203125003,2.00-3.00,3.350239101562501,9500.0
84,85,37,红萝卜,水浇地,第二季,3531.648671507532,670.0478203125003,2.50-4.00,4.355310832031251,9250.0
85,86,38,榆黄菇,普通大棚 ,第二季,5113.575413211507,4020.286921875,50.00-65.00,48.08482619051344,284500.0
86,87,39,香菇,普通大棚 ,第二季,3754.949640643327,2680.1912812500013,18.00-20.00,15.999951038618143,74000.0
87,88,40,白灵菇,普通大棚 ,第二季,9884.756593878972,13400.95640625,14.00-18.00,13.580437575029006,150000.0
88,89,41,羊肚菌,普通大棚 ,第二季,1105.6716990713462,13400.95640625,80.00-120.00,73.50918906249997,90000.0
89,90,17,豇豆,智慧大棚,第二季,3351.4265541042514,3537.8524912500015,8.40-10.80,12.864918150000006,28080.000000000004
90,91,18,刀豆,智慧大棚,第二季,2388.012632495995,1768.9262456249999,6.60-9.60,10.854774689062504,16500.0
91,92,19,芸豆,智慧大棚,第二季,3094.3741849831595,3537.8524912500015,6.00-9.60,10.452745996875,22320.0
92,93,20,土豆,智慧大棚,第二季,2137.838443083197,3537.8524912500015,3.60-5.40,6.0304303828125025,7260.0
93,94,21,西红柿,智慧大棚,第二季,2819.351175237872,3537.8524912500015,6.00-9.00,10.0507173046875,17610.0
94,95,22,茄子,智慧大棚,第二季,7183.720835029603,3537.8524912500015,6.00-7.20,8.844631228125003,44880.0
95,96,23,菠菜 ,智慧大棚,第二季,2754.9295739131985,4020.286921875,5.80-8.00,9.246659920312505,17700.0
96,97,24,青椒,智慧大棚,第二季,2602.6981810909315,2948.210409375001,5.80-7.80,9.112650356250002,16160.0
97,98,25,菜花,智慧大棚,第二季,3775.785663634804,4422.315614062501,6.00-7.20,8.844631228125003,20460.0
98,99,26,包菜,智慧大棚,第二季,4054.078076884327,5159.36821640625,6.60-9.00,10.452745996875,28130.0
99,100,27,油麦菜,智慧大棚,第二季,4922.929224251913,2948.210409375001,4.80-7.20,8.040573843750003,24800.0
100,101,28,小青菜,智慧大棚,第二季,3857.766664632571,2948.210409375001,6.00-7.80,9.246659920312505,22640.0
101,102,29,黄瓜,智慧大棚,第二季,14106.69460827218,5159.36821640625,7.20-9.60,11.25680338125,109550.0
102,103,30,生菜 ,智慧大棚,第二季,4820.534876732178,2948.210409375001,5.40-7.20,8.442602535937501,26150.000000000004
103,104,31,辣椒,智慧大棚,第二季,1605.0745941577452,1742.1243328125001,7.20-10.20,11.6588320734375,14359.999999999998
104,105,32,空心菜,智慧大棚,第二季,11064.883453196391,7370.526023437502,3.60-7.20,7.236516459375002,53900.00000000001
105,106,33,黄心菜,智慧大棚,第二季,5129.5893726348995,3685.263011718751,4.80-6.00,7.236516459375002,26410.000000000004
106,107,34,芹菜,智慧大棚,第二季,6131.8548201493595,1608.1147687500004,3.80-5.80,6.432459075000003,27600.0
107,65,17,豇豆,智慧大棚,第一季,4145.758247328244,3216.229537500001,7.00-9.00,10.720765125,26400.0
108,66,18,刀豆,智慧大棚,第一季,2657.7376676104846,1608.1147687500004,5.50-8.00,9.045645574218751,15000.0
109,67,19,芸豆,智慧大棚,第一季,3169.7830524084516,3216.229537500001,5.00-8.00,8.710621664062504,21000.0
110,68,20,土豆,智慧大棚,第一季,2301.175385773503,3216.229537500001,3.00-4.50,5.025358652343752,6600.0
111,69,21,西红柿,智慧大棚,第一季,2732.591294637142,3216.229537500001,5.00-7.50,8.375597753906252,16350.0
112,70,22,茄子,智慧大棚,第一季,8204.53959300185,3216.229537500001,5.00-6.00,7.3705260234375025,41600.0
113,71,23,菠菜 ,智慧大棚,第一季,3175.2975931103892,3618.2582296875007,4.80-6.70,7.70554993359375,16275.0
114,72,24,青椒,智慧大棚,第一季,2694.5160401178227,2680.1912812500013,4.00-6.50,7.035502113281253,13750.0
115,73,25,菜花,智慧大棚,第一季,3900.497623606565,4020.286921875,5.00-6.00,7.3705260234375025,19000.0
116,74,26,包菜,智慧大棚,第一季,4486.639803364513,4690.334742187501,5.50-7.50,8.710621664062504,25750.0
117,75,27,油麦菜,智慧大棚,第一季,5154.927992991611,2680.1912812500013,4.00-6.00,6.700478203125003,23000.0
118,76,28,小青菜,智慧大棚,第一季,3901.22993064508,2680.1912812500013,5.00-6.50,7.70554993359375,21000.0
119,77,29,黄瓜,智慧大棚,第一季,15231.311452964377,4690.334742187501,6.00-8.00,9.380669484375,101500.0
120,78,30,生菜 ,智慧大棚,第一季,4738.565253801939,2680.1912812500013,4.50-6.00,7.035502113281253,24250.0
121,79,31,辣椒,智慧大棚,第一季,2039.9489520739207,1608.1147687500004,6.00-8.50,9.715693394531252,13300.0
122,80,32,空心菜,智慧大棚,第一季,12444.1663251084,6700.4782031250015,3.00-6.00,6.0304303828125025,49000.0
123,81,33,黄心菜,智慧大棚,第一季,4969.48843939875,3350.2391015625008,4.00-5.00,6.0304303828125025,24500.0
124,82,34,芹菜,智慧大棚,第一季,6745.9452769705695,1474.1052046875,3.20-4.80,5.360382562500002,25300.0
